sweep,algorithm,n,population,trial,seed,solved,outcome,seconds,work
population,genetic,120,50,5,120050816,1,solved,0.626389,1956
population,genetic,120,50,6,120050817,0,stalled,1.311148,4322
population,genetic,120,50,7,120050818,0,stalled,2.011336,6179
population,genetic,120,50,8,120050819,0,stalled,1.428571,4559
population,genetic,120,100,0,120101261,0,stalled,1.640215,2770
population,genetic,120,100,1,120101262,0,stalled,1.800686,3012
population,genetic,120,100,2,120101263,0,stalled,2.106193,3531
population,genetic,120,100,3,120101264,1,solved,2.114521,3497
population,genetic,120,100,4,120101265,0,stalled,1.725266,2892
population,genetic,120,100,5,120101266,0,stalled,2.007693,3152
population,genetic,120,100,6,120101267,0,stalled,1.797513,2973
population,genetic,120,100,7,120101268,0,stalled,2.083037,3490
population,genetic,120,100,8,120101269,0,stalled,3.76341,5236
population,genetic,120,200,0,120202161,1,solved,2.67327,2205
population,genetic,120,200,1,120202162,1,solved,3.273372,2208
population,genetic,120,200,2,120202163,1,solved,3.990092,3100
population,genetic,120,200,3,120202164,0,stalled,5.757729,4159
population,genetic,120,200,4,120202165,0,stalled,5.058234,4321
population,genetic,120,200,5,120202166,1,solved,2.160747,1836
population,genetic,120,200,6,120202167,0,stalled,4.278424,3355
population,genetic,120,200,7,120202168,1,solved,4.232254,3472
population,genetic,120,200,8,120202169,0,stalled,3.844943,3134
population,genetic,120,400,0,120403961,0,stalled,8.666952,3517
population,genetic,120,400,1,120403962,0,stalled,15.608524,4510
population,genetic,120,400,2,120403963,1,solved,6.672042,2385
population,genetic,120,400,3,120403964,1,solved,3.905613,1510
population,genetic,120,400,4,120403965,0,stalled,9.210285,3261
population,genetic,120,400,5,120403966,0,stalled,6.89236,2745
population,genetic,120,400,6,120403967,1,solved,5.015539,1962
population,genetic,120,400,7,120403968,1,solved,2.392883,886
population,genetic,120,400,8,120403969,1,solved,6.400194,2448
population,genetic,120,800,0,120807561,1,solved,5.027595,1007
population,genetic,120,800,1,120807562,0,stalled,12.484831,2426
population,genetic,120,800,2,120807563,0,stalled,20.613837,3554
population,genetic,120,800,3,120807564,0,stalled,25.072403,4808
population,genetic,120,800,4,120807565,1,solved,3.165806,684
population,genetic,120,800,5,120807566,1,solved,5.312737,1102
population,genetic,120,800,6,120807567,0,stalled,12.240154,2447
population,genetic,120,800,7,120807568,1,solved,6.146074,1291
population,genetic,120,800,8,120807569,0,stalled,14.589586,2702
population,genetic,120,1600,0,121614761,0,stalled,41.691591,4333
population,genetic,120,1600,1,121614762,1,solved,14.841006,1423
population,genetic,120,1600,2,121614763,0,stalled,23.597266,2432
population,genetic,120,1600,3,121614764,1,solved,6.824281,720
population,genetic,120,1600,4,121614765,1,solved,17.313979,1868
population,genetic,120,1600,5,121614766,1,solved,22.731316,2357
population,genetic,120,1600,6,121614767,0,stalled,36.484905,3705
population,genetic,120,1600,7,121614768,1,solved,8.001166,786
population,genetic,120,1600,8,121614769,1,solved,16.073889,1672
population,genetic,120,3200,0,123229161,1,solved,43.625979,2276
population,genetic,120,3200,1,123229162,1,solved,23.148191,1176
population,genetic,120,3200,2,123229163,1,solved,13.828233,672
population,genetic,120,3200,3,123229164,1,solved,15.557566,717
population,genetic,120,3200,4,123229165,1,solved,21.333842,1046
population,genetic,120,3200,5,123229166,1,solved,8.866019,468
population,genetic,120,3200,6,123229167,1,solved,22.538584,1163
population,genetic,120,3200,7,123229168,1,solved,15.32621,696
population,genetic,120,3200,8,123229169,0,timeout,45.007758,2034
population,genetic,120,6400,0,126457961,0,timeout,45.004994,1088
population,genetic,120,6400,1,126457962,0,timeout,45.031366,1079
population,genetic,120,6400,2,126457963,1,solved,14.900505,378
population,genetic,120,6400,3,126457964,0,timeout,45.014717,1110
population,genetic,120,6400,4,126457965,0,timeout,45.025959,1136
population,genetic,120,6400,5,126457966,0,timeout,45.027559,1097
population,genetic,120,6400,6,126457967,1,solved,16.850035,425
population,genetic,120,6400,7,126457968,1,solved,21.713113,550
population,genetic,120,6400,8,126457969,1,solved,32.372089,838
population,genetic,160,25,0,160025706,0,stalled,1.936136,5616
population,genetic,160,25,1,160025707,0,stalled,1.581544,6343
population,genetic,160,25,2,160025708,0,stalled,1.928624,6477
population,genetic,160,25,3,160025709,0,stalled,2.220496,7821
population,genetic,160,25,4,160025710,0,stalled,2.212022,8074
population,genetic,160,25,5,160025711,0,stalled,2.350142,8541
population,genetic,160,25,6,160025712,0,stalled,1.638701,6065
population,genetic,160,25,7,160025713,0,stalled,1.668615,6531
population,genetic,160,25,8,160025714,0,stalled,1.317805,5183
population,genetic,160,50,0,160050931,0,stalled,1.987678,3977
population,genetic,160,50,1,160050932,0,stalled,4.395509,8345
population,genetic,160,50,2,160050933,0,stalled,3.497359,6772
population,genetic,160,50,3,160050934,0,stalled,3.476185,6920
population,genetic,160,50,4,160050935,0,stalled,4.423992,8488
population,genetic,160,50,5,160050936,0,stalled,3.032615,5784
population,genetic,160,50,6,160050937,0,stalled,2.012115,4002
population,genetic,160,50,7,160050938,0,stalled,3.922244,7932
population,genetic,160,50,8,160050939,0,stalled,2.674082,5106
population,genetic,160,100,0,160101381,0,stalled,5.295594,5074
population,genetic,160,100,1,160101382,1,solved,2.794107,2702
population,genetic,160,100,2,160101383,0,stalled,5.579282,5013
population,genetic,160,100,3,160101384,0,stalled,3.89594,3561
population,genetic,160,100,4,160101385,0,stalled,4.012394,3738
population,genetic,160,100,5,160101386,0,stalled,6.107518,6104
population,genetic,160,100,6,160101387,0,stalled,3.931324,3940
population,genetic,160,100,7,160101388,0,stalled,10.344274,10082
population,genetic,160,100,8,160101389,0,stalled,4.340877,3718
population,genetic,160,200,0,160202281,0,stalled,7.375847,3663
population,genetic,160,200,1,160202282,1,solved,8.366981,3927
population,genetic,160,200,2,160202283,0,stalled,6.023679,2947
population,genetic,160,200,3,160202284,0,stalled,7.55583,3233
population,genetic,160,200,4,160202285,0,stalled,10.337001,4772
population,genetic,160,200,5,160202286,0,stalled,6.961804,3183
population,genetic,160,200,6,160202287,0,stalled,6.166149,2921
population,genetic,160,200,7,160202288,0,stalled,6.630755,3031
population,genetic,160,200,8,160202289,0,stalled,13.029371,6007
population,genetic,160,400,0,160404081,0,stalled,11.599672,2632
population,genetic,160,400,1,160404082,0,stalled,23.35217,5532
population,genetic,160,400,2,160404083,1,solved,2.840039,683
population,genetic,160,400,3,160404084,0,stalled,11.947053,2921
population,genetic,160,400,4,160404085,0,stalled,11.634932,2685
population,genetic,160,400,5,160404086,0,stalled,11.867314,2703
population,genetic,160,400,6,160404087,1,solved,14.362393,3294
population,genetic,160,400,7,160404088,1,solved,11.788451,2829
population,genetic,160,400,8,160404089,1,solved,8.816009,2007
population,genetic,160,800,0,160807681,1,solved,8.908315,984
population,genetic,160,800,1,160807682,0,stalled,32.92363,3528
population,genetic,160,800,2,160807683,1,solved,28.207003,3260
population,genetic,160,800,3,160807684,0,stalled,25.579621,2985
population,genetic,160,800,4,160807685,0,stalled,42.685707,4960
population,genetic,160,800,5,160807686,0,stalled,34.360622,4064
population,genetic,160,800,6,160807687,0,timeout,45.001057,5243
population,genetic,160,800,7,160807688,1,solved,14.448652,1695
population,genetic,160,800,8,160807689,0,stalled,29.024558,3515
population,genetic,160,1600,0,161614881,0,timeout,45.001179,2639
population,genetic,160,1600,1,161614882,0,timeout,45.003047,2712
population,genetic,160,1600,2,161614883,1,solved,38.890227,2213
population,genetic,160,1600,3,161614884,1,solved,37.087686,1936
population,genetic,160,1600,4,161614885,1,solved,29.309234,2845
population,genetic,160,1600,5,161614886,0,stalled,26.302443,2501
population,genetic,160,1600,6,161614887,1,solved,12.986612,1261
population,genetic,160,1600,7,161614888,1,solved,13.574616,1290
population,genetic,160,1600,8,161614889,0,stalled,29.577973,2839
population,genetic,160,3200,0,163229281,1,solved,22.010353,1062
population,genetic,160,3200,1,163229282,1,solved,31.055346,1383
population,genetic,160,3200,2,163229283,1,solved,35.360884,1693
population,genetic,160,3200,3,163229284,1,solved,27.474552,1322
population,genetic,160,3200,4,163229285,1,solved,17.252754,831
population,genetic,160,3200,5,163229286,1,solved,18.485547,886
population,genetic,160,3200,6,163229287,0,timeout,45.019496,2117
population,genetic,160,3200,7,163229288,1,solved,15.890446,759
population,genetic,160,3200,8,163229289,1,solved,29.793734,1432
population,genetic,160,6400,0,166458081,1,solved,38.846746,932
population,genetic,160,6400,1,166458082,0,timeout,45.021783,1070
population,genetic,160,6400,2,166458083,1,solved,14.324448,343
population,genetic,160,6400,3,166458084,0,timeout,45.034593,1081
population,genetic,160,6400,4,166458085,1,solved,26.192937,621
population,genetic,160,6400,5,166458086,0,timeout,45.023423,1078
population,genetic,160,6400,6,166458087,1,solved,36.242253,858
population,genetic,160,6400,7,166458088,1,solved,24.115911,584
population,genetic,160,6400,8,166458089,1,solved,30.11892,656
